icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
E08331,0,1,0,0,0,0,0,0
E08339,0,1,0,0,0,0,0,0
E08341,0,1,0,0,0,0,0,0
E08349,0,1,0,0,0,0,0,0
E08351,0,1,0,0,0,0,0,0
E08359,0,1,0,0,0,0,0,0
E0836,0,1,0,0,0,0,0,0
E0839,0,1,0,0,0,0,0,0
E0840,0,0.6666666667,0.3333333333,0,0,0,0,0
E0841,0,0.6666666667,0.3333333333,0,0,0,0,0
E0842,0,0.6666666667,0.3333333333,0,0,0,0,0
E0843,0,0.6666666667,0.3333333333,0,0,0,0,0
E0844,0,0.6666666667,0.3333333333,0,0,0,0,0
E0849,0,0.6666666667,0.3333333333,0,0,0,0,0
E0851,0,1,0,0,0,0,0,0
E0852,0,1,0,0,0,0,0,0
E0859,0,1,0,0,0,0,0,0
E08610,0,0.6666666667,0.3333333333,0,0,0,0,0
E08618,0,0.6666666667,0.3333333333,0,0,0,0,0
E08620,0,0.6666666667,0.3333333333,0,0,0,0,0
E08621,0,0.6666666667,0.3333333333,0,0,0,0,0
E08622,0,0.6666666667,0.3333333333,0,0,0,0,0
E08628,0,0.6666666667,0.3333333333,0,0,0,0,0
E08630,0,0.6666666667,0.3333333333,0,0,0,0,0
E08638,0,0.6666666667,0.3333333333,0,0,0,0,0
E08641,0,0.6666666667,0.3333333333,0,0,0,0,0
E08649,0,0.6666666667,0.3333333333,0,0,0,0,0
E0865,0,1,0,0,0,0,0,0
E0869,0,0.6666666667,0.3333333333,0,0,0,0,0
E088,0,0.3333333333,0,0.6666666667,0,0,0,0
E089,0,0.3428571429,0.0571428571,0.6,0,0,0,0
E0900,0,0.6666666667,0.3333333333,0,0,0,0,0
E0901,0,0.6666666667,0.3333333333,0,0,0,0,0
E0910,0,1,0,0,0,0,0,0
E0911,0,0.6666666667,0.3333333333,0,0,0,0,0
E0921,0,1,0,0,0,0,0,0
E0922,0,1,0,0,0,0,0,0
E0929,0,1,0,0,0,0,0,0
E09311,0,1,0,0,0,0,0,0
E09319,0,1,0,0,0,0,0,0
E09321,0,1,0,0,0,0,0,0
E09329,0,1,0,0,0,0,0,0
E09331,0,1,0,0,0,0,0,0
E09339,0,1,0,0,0,0,0,0
E09341,0,1,0,0,0,0,0,0
E09349,0,1,0,0,0,0,0,0
E09351,0,1,0,0,0,0,0,0
E09359,0,1,0,0,0,0,0,0
E0936,0,1,0,0,0,0,0,0
